s58,455,"[]",.
s181,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,316,"['Forward']",ERROR
s181,316,"['Forward']",ERROR
s181,316,"['Forward']",ERROR
s181,316,"['Forward']",ERROR
s181,316,"['Forward']",ERROR
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s181,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down']",ERROR
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Backward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward']",.
s181,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s232,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s232,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Right', 'Turn Right', 'Backward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s233,361,"[]",ERROR
s233,361,"[]",ERROR
s233,361,"[]",ERROR
s236,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s236,313,"['Forward']",.
s236,313,"['Forward', 'Forward']",.
s236,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s236,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s236,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s236,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s236,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s236,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s236,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left']",COMPLETED
s236,312,"[]",ERROR
s236,321,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left']",.
s236,321,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left']",.
s236,321,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Pick Up', 'Put Down', 'Turn Left']",.
s237,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Right', 'Turn Right']",ERROR
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Right', 'Turn Right']",ERROR
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Right', 'Put Down', 'Turn Left', 'Forward']",.
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Right', 'Turn Right', 'Forward', 'Turn Right']",ERROR
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Right', 'Turn Right', 'Turn Right']",ERROR
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Right', 'Turn Right', 'Put Down']",ERROR
s237,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Turn Right', 'Turn Right', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s237,314,"[]",.
s237,314,"[]",.
s237,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s237,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Turn Left', 'Backward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s237,315,"[]",.
s237,315,"[]",.
s237,315,"[]",.
s237,315,"[]",.
s237,315,"[]",.
s237,315,"[]",.
s237,315,"[]",.
s237,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s237,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Turn Right']",ERROR
s237,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Turn Right']",ERROR
s238,313,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s238,316,"['Forward', 'Forward']",.
s238,316,"[]",ERROR
s238,316,"[]",ERROR
s238,316,"[]",ERROR
s238,316,"['Forward', 'Forward']",ERROR
s238,316,"['Forward', 'Forward', 'Turn Right']",ERROR
s238,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Put Down']",.
s238,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s238,316,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s238,314,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s238,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",.
s238,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Turn Left', 'Forward']",.
s238,319,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Forward']",ERROR
s238,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",.
s238,315,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Right', 'Turn Right']",COMPLETED
s238,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward']",.
s238,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right']",.
s238,320,"['Forward', 'Forward', 'Turn Right', 'Pick Up', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Left']",.
