s58,455,"[]",.
s1975,460,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Backward', 'Turn Right']",.
s1975,460,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Put Down', 'Jump']",.
s1975,460,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Put Down', 'Jump', 'Jump', 'Jump']",.
s1975,460,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Put Down', 'Jump', 'Jump', 'Jump', 'Jump', 'Forward']",COMPLETED
s1975,461,"['Pick Up', 'Turn Right']",.
s1975,461,"['Pick Up', 'Turn Right', 'Forward', 'Put Down']",.
s1975,461,"['Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Backward']",.
s1975,461,"['Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Backward', 'Turn Left', 'Forward', 'Pick Up', 'Backward', 'Turn Right']",.
s1975,461,"['Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Backward', 'Turn Left', 'Forward', 'Pick Up', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Put Down', 'Forward']",.
s1975,461,"['Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Backward', 'Turn Left', 'Forward', 'Pick Up', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Put Down', 'Forward']",.
s1975,461,"['Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Backward', 'Turn Left', 'Forward', 'Pick Up', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Put Down', 'Forward', 'Forward']",COMPLETED
s1975,480,"['Turn Right', 'Jump', 'Forward']",.
s1975,480,"['Turn Right', 'Jump', 'Forward', 'Turn Left', 'Jump']",.
s1975,480,"['Turn Right', 'Jump', 'Forward', 'Turn Left', 'Jump', 'Turn Right', 'Pick Up']",.
s1975,480,"['Turn Right', 'Jump', 'Forward', 'Turn Left', 'Jump', 'Turn Right', 'Pick Up', 'Turn Left', 'Put Down', 'Jump']",.
s1975,480,"['Turn Right', 'Jump', 'Forward', 'Turn Left', 'Jump', 'Turn Right', 'Pick Up', 'Turn Left', 'Put Down', 'Jump', 'Jump', 'Pick Up', 'Turn Right', 'Put Down', 'Jump', 'Jump']",.
s1975,480,"['Turn Right', 'Jump', 'Forward', 'Turn Left', 'Jump', 'Turn Right', 'Pick Up', 'Turn Left', 'Put Down', 'Jump', 'Jump', 'Pick Up', 'Turn Right', 'Put Down', 'Jump', 'Jump', 'Forward']",COMPLETED
s1975,438,"['Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump', 'Jump']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down', 'Pick Up']",.
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s1975,439,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Put Down']",COMPLETED
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left']",.
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Turn Right']",ERROR
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left']",.
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",.
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right']",ERROR
s1975,440,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Pick Up', 'Backward', 'Put Down']",COMPLETED
s1975,481,"['Turn Right', 'Forward', 'Pick Up', 'Turn Left']",.
s1975,481,"['Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down']",.
s1975,481,"['Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down']",.
s1975,481,"['Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down']",.
s1975,481,"['Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down']",.
s1975,481,"['Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down', 'Turn Right', 'Forward', 'Pick Up', 'Turn Left', 'Forward', 'Put Down']",COMPLETED
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward']",.
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward']",.
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left']",ERROR
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Turn Left']",ERROR
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Turn Left']",ERROR
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward']",.
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Forward', 'Forward', 'Turn Left']",ERROR
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Forward']",.
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward']",.
s1975,450,"['Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward', 'Turn Right', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Forward', 'Pick Up', 'Forward', 'Put Down', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s1975,451,"[]",.
s1976,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1976,464,"['Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",ERROR
s1976,464,"['Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s1976,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left']",.
s1976,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right']",.
s1976,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward']",.
s1976,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Left', 'Forward']",COMPLETED
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward']",.
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward', 'Jump', 'Jump']",.
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump']",.
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Jump', 'Jump']",.
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward', 'Jump', 'Jump']",.
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump']",.
s1976,443,"['Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Jump']",COMPLETED
s1976,447,"['Forward']",ERROR
s1976,447,"['Forward', 'Pick Up']",.
s1976,447,"['Forward', 'Pick Up', 'Turn Right', 'Forward', 'Put Down']",.
s1976,447,"['Forward', 'Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Forward', 'Forward']",.
s1976,447,"['Forward', 'Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Forward', 'Forward']",ERROR
s1976,447,"['Forward', 'Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Forward', 'Forward']",ERROR
s1976,447,"['Forward', 'Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Turn Right', 'Put Down']",COMPLETED
s1976,448,"['Pick Up', 'Forward', 'Turn Right', 'Forward', 'Turn Left', 'Turn Left', 'Put Down']",.
s1976,448,"['Pick Up', 'Forward', 'Turn Right', 'Forward', 'Turn Left', 'Turn Left', 'Put Down', 'Pick Up', 'Turn Right', 'Turn Right']",.
s1976,448,"['Pick Up', 'Forward', 'Turn Right', 'Forward', 'Turn Left', 'Turn Left', 'Put Down', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down']",COMPLETED
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down', 'Pick Up', 'Turn Right', 'Put Down']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down', 'Pick Up', 'Turn Right', 'Put Down']",ERROR
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down', 'Pick Up', 'Turn Right', 'Put Down']",ERROR
s1976,449,"['Turn Left']",ERROR
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Backward', 'Turn Left']",ERROR
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward', 'Turn Right']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward', 'Turn Right', 'Pick Up']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down']",.
s1976,449,"['Forward', 'Forward', 'Forward', 'Pick Up', 'Turn Left', 'Put Down', 'Turn Left', 'Turn Left', 'Turn Right', 'Forward', 'Turn Right', 'Pick Up', 'Turn Left', 'Turn Left', 'Put Down', 'Turn Right', 'Forward']",ERROR
s1976,449,"['Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down', 'Turn Left', 'Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down', 'Turn Left', 'Forward', 'Pick Up', 'Turn Left', 'Put Down']",COMPLETED
s1976,479,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right']",.
s1976,479,"['Forward', 'Forward', 'Forward']",ERROR
s1976,479,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down']",.
s1976,479,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down', 'Turn Left', 'Forward', 'Turn Left', 'Pick Up']",.
s1976,479,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down', 'Turn Left', 'Forward', 'Turn Left', 'Pick Up']",.
s1977,455,"[]",ERROR
s1977,455,"[]",ERROR
s1977,455,"[]",ERROR
s1977,455,"['Forward']",ERROR
s1977,455,"['Turn Left']",ERROR
s1977,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Right']",ERROR
s1977,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Turn Right', 'Turn Left', 'Turn Right']",COMPLETED
s1977,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1977,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1977,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1977,464,"[]",ERROR
s1977,464,"['Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",ERROR
s1977,464,"['Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",ERROR
s1977,464,"['Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Right']",ERROR
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Backward', 'Forward']",ERROR
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left']",ERROR
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Left']",ERROR
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward']",.
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Right']",ERROR
s1977,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Left', 'Forward']",COMPLETED
s1977,443,"['Jump']",.
s1977,443,"['Jump', 'Turn Left']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Left']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Forward', 'Forward']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward']",ERROR
s1977,443,"['Jump', 'Jump', 'Jump', 'Jump', 'Turn Right', 'Forward', 'Turn Right', 'Forward']",ERROR
s1977,443,"[]",.
s1977,443,"[]",.
s1977,443,"[]",.
s1977,443,"[]",.
s1977,443,"[]",.
s1977,443,"[]",.
s1977,443,"[]",.
s1977,443,"[]",ERROR
s1977,443,"[]",ERROR
s1977,443,"['Turn Left']",ERROR
s1977,443,"['Turn Left']",ERROR
s1977,443,"['Turn Left']",ERROR
s1977,443,"['Turn Left']",ERROR
s1977,443,"['Turn Left']",ERROR
s1978,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1978,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1978,464,"['Backward', 'Backward', 'Backward', 'Forward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",.
s1978,464,"['Backward', 'Backward', 'Backward', 'Forward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s1978,446,"['Forward']",.
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Turn Right']",ERROR
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Turn Right']",ERROR
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Right', 'Turn Left', 'Forward']",.
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Right', 'Turn Left', 'Forward']",.
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Right']",ERROR
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Right']",.
s1978,167,"['Turn Right']",.
s1978,167,"['Turn Right', 'Forward']",.
s1978,167,"['Turn Right', 'Forward']",.
s1978,167,"[]",.
s1978,167,"[]",.
s1978,167,"[]",.
s1978,455,"['Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward', 'Forward']",COMPLETED
s1978,464,"['Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward', 'Backward']",COMPLETED
s1978,446,"['Forward', 'Forward', 'Forward', 'Forward', 'Turn Left', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Forward', 'Turn Right', 'Forward', 'Turn Left', 'Forward']",COMPLETED
s1978,443,"['Jump', 'Turn Right', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Turn Right', 'Jump', 'Jump', 'Jump']",COMPLETED
s1978,447,"['Forward', 'Pick Up', 'Turn Right', 'Forward', 'Put Down', 'Turn Left', 'Pick Up', 'Backward', 'Backward', 'Put Down']",COMPLETED
s1978,448,"['Pick Up', 'Forward', 'Turn Right', 'Forward', 'Put Down']",COMPLETED
s1978,449,"['Forward', 'Turn Left', 'Pick Up']",.
s1978,449,"['Forward', 'Turn Left', 'Pick Up', 'Backward']",ERROR
s1978,449,"['Forward', 'Turn Left', 'Pick Up', 'Backward', 'Put Down']",.
s1978,449,"['Forward', 'Turn Left', 'Pick Up', 'Turn Right', 'Turn Right', 'Put Down']",.
